"plant.architecture","Stem.Diameter.Rep1","branch_habit","low.branching","Stem.Diameter.Rep2","branch_levels","flowering","Stem.Diameter.Rep3","27643909","28103607","29449366","31196826","32865115","34462062","35808218","37123583","38699792","39131171"
"","17.77","3","","22.05","5","present","14.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","19.85",NA,"no","17.08",NA,"absent","16.52",0,0,0,0,0,0,0,0,0,0
"","16.83",NA,"","17.99",NA,"","16.21",1,1,1,1,1,1,0,0,0,0
"cylindrical","18.15",NA,"yes","19.87",NA,"absent","23.12",1,1,1,1,1,1,1,2,2,2
"compact","15.41","2","yes","16.21","2","absent","13.59",0,0,0,0,0,0,1,1,1,1
"compact","23.04","3","yes","16.62","2","","28.87",1,1,1,2,2,2,2,1,2,2
"compact","19.63","3","no","19.32","1","present","16.21",1,1,2,2,2,1,1,1,1,1
"compact","23.04","3","yes","19.17","2","absent","21.85",1,1,1,1,1,1,1,1,1,1
"compact","28.08","2","no","17.9","2","absent","21.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","23.9","3","yes","16.54","2","","19.36",0,0,0,0,0,0,0,0,0,0
"compact","21.1","2","no","32.53","3","present","28.42",0,0,0,0,0,0,0,1,1,1
"open","21.25","2","","22.2","4","","26.32",0,0,0,0,0,2,2,1,2,2
"compact","37.8","2","no","28.85","4","present","38.87",0,0,0,0,1,1,1,2,2,2
"compact","20.08",NA,"no","17.28",NA,"absent","13.5",0,0,1,1,1,1,1,1,1,1
"compact","22.65","2","yes","22.74","3","","27.32",1,1,1,1,1,0,0,0,1,1
"compact","12.64","2","no","12.87","2","","12.09",0,0,0,0,0,0,0,0,1,2
"umbrella","29.66","3","","23.46","1","","23.5",0,0,0,0,0,0,0,0,0,0
"compact","23.55","3","no","19.64","3","","21.13",1,1,1,1,1,1,1,1,1,1
"umbrella","19.4","3","no","21.02","3","present","15.18",1,1,1,1,1,0,0,1,2,2
"cylindrical","18.05",NA,"no","18.32",NA,"","23.22",2,1,1,1,1,1,1,1,1,1
"compact","18.85","2","yes","15.34","2","absent","18.47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","15.61","2","yes","17.85","2","absent","18.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","30.62","3","no","26.77","2","present","18.76",1,1,1,2,2,2,2,0,2,2
"compact","25.28","2","no","20.11","1","","19.92",0,0,0,0,0,0,0,1,1,1
"cylindrical","14.78",NA,"yes","14.8",NA,"absent","17.99",1,0,1,1,1,1,1,2,2,2
"umbrella","18.71","3","no","27.65","2","present","21.69",1,1,1,1,1,1,0,0,0,0
"cylindrical","19.04",NA,"no","14.22",NA,"absent","20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"open","24.77","2","yes","20.74","2","absent","18.86",0,0,1,1,1,1,1,1,1,1
"umbrella","20.97","3","no","19.32","1","absent","16.23",2,2,2,2,2,1,1,0,1,1
"compact","28.04","2","no","25.29","2","present","20.93",0,0,1,0,1,1,1,1,1,1
"umbrella","25.18","1","yes","18.95","1","absent","24.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","20.42","2","","28.79","1","","26.38",0,0,0,0,1,1,1,1,1,1
"compact","22.11","3","no","18.12","2","present","22.9",0,0,1,1,1,1,1,1,1,1
"compact","17.6","2","","15.05","1","","17.58",0,0,0,0,1,1,0,0,0,0
"compact","27.85","3","yes","17.93","3","present","22.91",1,1,2,2,1,1,1,1,1,1
"compact","16.25","3","no","21.22","3","","21.8",1,0,1,1,1,1,1,1,1,1
"cylindrical","13.2",NA,"yes","14.49",NA,"absent","15.36",0,0,0,0,2,2,2,2,2,2
"compact","19.61","2","yes","23.19","2","absent","16.1",0,0,0,0,0,0,0,0,0,0
"compact","26.01","2","no","30.28","3","present","19.43",1,1,2,2,2,2,2,2,2,2
"cylindrical","15.54","2","yes","20.26","1","absent","14.97",1,1,1,1,1,1,0,0,0,0
"compact","29.76","2","no","19.69","5","present","22.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","14.08","2","yes","14.8","1","absent","11.19",2,2,2,2,1,1,0,0,0,0
"umbrella","18.32","2","no","11.85","2","absent","14.82",2,2,2,2,1,1,1,0,0,0
"compact","14.4","2","no","17.37","3","absent","17.71",1,1,1,1,1,1,1,1,2,2
"compact","14.96","2","no","21.42","2","absent","18.54",2,1,1,1,1,1,1,1,1,1
"compact","15.32","2","yes","16.54","2","absent","12.47",0,0,0,1,1,1,1,1,0,0
"cylindrical","24.67",NA,"no","25.89",NA,"absent","24.36",0,0,0,0,0,0,0,0,0,0
"compact","19.45","2","","15.64","2","","14.66",0,0,0,0,0,1,1,0,1,1
"compact","18.5","3","yes","13.88","1","absent","13.63",0,0,0,0,1,1,1,1,1,1
"open","22.7","3","yes","31.14","3","present","17.59",0,0,0,0,0,0,0,0,0,0
"cylindrical","11.33","2","yes","11.99","1","present","7.33",1,1,1,1,1,1,1,0,1,1
"open","22.92","2","yes","24.72","3","present","21.1",0,0,2,2,2,2,1,1,1,1
"compact","17.76","3","yes","18.73","5","present","20.42",0,0,0,1,1,1,1,2,2,2
"compact","17.85","3","no","18.39","2","present","19.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","22.39","2","yes","24.65","3","absent","23.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","23.09","3","no","19.47","1","absent","20.06",1,1,1,1,1,1,0,0,0,0
"compact","19.42","3","yes","20.83","3","present","16.27",1,1,1,2,2,2,1,0,1,1
"umbrella","23.13","3","no","21.58","2","absent","24.1",0,0,0,0,0,0,0,0,0,0
"open","44.17","2","yes","25.11","4","present","28.66",1,1,1,1,1,1,1,2,2,2
"umbrella","19.7","2","no","17.72","1","absent","12.3",1,1,1,1,1,2,2,1,2,2
"compact","18.59","3","yes","23.54","3","present","27.24",0,0,1,1,1,1,2,2,2,2
"compact","27.5","2","no","21.39","2","absent","36.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","19.91","2","no","19.01","5","present","21.07",2,2,2,2,1,1,1,1,1,1
"umbrella","17.66","3","yes","28.96","3","present","27.77",1,1,1,1,1,1,0,0,0,0
"compact","15.09","2","","14.18","1","","17.79",0,0,1,1,1,1,1,1,1,1
"open","22.13","3","no","15.4","3","absent","33.26",0,0,0,0,0,0,0,1,1,1
"compact","19.11","3","no","26.25","2","absent","24.06",0,0,0,0,0,0,0,0,0,0
"umbrella","17.32","2","yes","16.34","1","absent","18.48",0,0,0,0,0,0,0,0,0,0
"compact","19.54","2","yes","19.45","1","absent","19.14",0,0,0,0,0,0,0,0,0,0
"compact","30.99","3","yes","31.57","4","absent","26.39",0,0,0,0,0,1,1,1,1,1
"compact","22.9","3","yes","29.24","3","present","16.27",2,2,2,1,1,1,1,1,0,0
"cylindrical","23.01",NA,"no","26.36",NA,"absent","18.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","20.79","2","no","15.05","1","absent","15.46",0,0,0,0,0,1,1,1,0,0
"compact","30.88","2","no","29.02","3","present","37.1",1,1,1,1,1,0,0,0,1,1
"","0",NA,"",NA,NA,"",NA,1,1,1,1,1,2,2,1,2,2
"compact","25.16","3","no","26.58","3","absent","32.01",1,1,1,1,1,0,0,0,0,0
"cylindrical","10.92",NA,"yes","8.8",NA,"absent","6.22",2,2,2,2,2,2,2,1,2,2
"compact","21","2","no","31.57","2","present","20.47",0,0,2,2,1,1,1,1,1,1
"compact","14.22","3","yes","19.26","3","present","26.41",1,1,1,1,1,1,0,0,0,0
"compact","24.27","2","yes","34.41","3","present","25.8",0,0,0,0,0,0,0,1,1,1
"cylindrical","13.64",NA,"yes","11.66",NA,"absent","12.76",1,1,1,1,1,1,1,1,1,2
"compact","17.01","2","yes","24.99","4","absent","20.46",0,0,0,0,0,0,0,0,0,0
"compact","9.69","3","yes","9.04","1","absent","10.75",0,0,0,0,0,0,1,1,1,1
"umbrella","19.76","2","no","13.96","1","absent","15.49",1,1,1,1,1,1,1,1,1,1
"compact","15.62","3","no","27.27","4","present","20.2",0,0,0,0,0,0,2,1,2,2
"umbrella","24.54","3","no","26.27","3","present","21.75",0,0,0,0,0,0,0,0,0,0
"compact","26.75","2","yes","23.9","4","present","23.01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","19.33","2","yes","15.58","2","absent","19.82",0,0,0,0,1,1,1,1,2,2
"","8.66",NA,"",NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0
"compact","13.69","2","yes","9.19","1","absent","14.15",0,0,0,0,1,2,1,1,1,1
"compact","20.95","3","yes","22.11","3","absent","11.29",0,0,1,1,0,0,0,0,0,0
"open","16.94","3","no","18.22","4","absent","13.86",2,2,2,2,2,2,2,2,1,1
"umbrella","17.92","2","no","16.9","1","absent","16.64",0,0,0,0,0,0,0,0,0,0
"compact","19.56","2","yes","15.2","1","absent","20.1",1,0,0,0,0,0,0,0,0,0
"compact","12.38","2","no","13.8","3","absent","18.07",0,0,0,0,0,1,1,1,1,1
"compact","17.44","2","no","18.85","2","absent","15.43",0,0,1,1,1,1,1,1,1,1
"compact","21.11","2","no","26.66","4","present","25.12",0,0,0,0,1,1,1,1,1,1
"compact","18.59","3","no","22.45","1","absent","19.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","13.15","2","no","15.35","2","absent","21.42",1,1,1,1,1,1,1,1,1,1
"compact","21.47","3","no","19.38","2","present","18.66",1,1,2,2,1,1,1,1,1,1
"compact","24","2","no","22.1","24.04","absent","17.7",0,0,1,1,1,1,1,2,2,2
"cylindrical","23.09",NA,"","21.14",NA,"absent","21.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","22.66",NA,"","22.38","1","absent","15.96",1,1,1,1,1,1,1,1,1,1
"compact","15.9","2","no","30.1","2","absent","16.69",1,0,0,0,0,0,0,0,0,0
"open","28.61","2","no","18.42","5","present","25.07",1,1,1,1,1,1,0,0,0,0
"compact","29.25","2","no","17.96","4","absent","25.62",1,1,1,1,2,2,2,2,2,2
"compact","15.54","2","yes","17.39","3","absent","11.15",1,1,1,1,1,1,1,1,0,0
"umbrella","25.75","3","no","16.2","1","absent","15.16",1,1,1,1,1,1,1,1,1,1
"compact","25.52","2","","23.73","1","absent","19.14",0,0,0,0,0,1,1,1,1,2
"compact","16.83","3","yes","19.97","5","present","19.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","17.72","2","yes","16.41","1","absent","14.18",0,0,0,0,0,0,0,0,0,1
"umbrella","15.06","3","no","18.67","1","absent","16.14",2,2,2,2,2,2,2,1,1,1
"compact","17.12","2","no","18.35","4","absent","18.98",0,0,0,1,1,1,1,0,2,2
"cylindrical","13.46",NA,"no","10.89",NA,"absent","12.69",0,0,0,0,0,0,2,2,2,2
"cylindrical","24.25",NA,"yes","21.85",NA,"absent","27.09",0,0,0,0,0,0,0,0,0,0
"umbrella","17.77","2","no","18.35","1","absent","20.1",0,0,0,0,0,0,1,1,1,1
"compact","14.99","2","no","17.68","1","absent","13.75",0,0,0,0,0,0,0,2,2,2
"compact","14.44","2","yes","10.01","1","present","14.94",1,1,1,1,1,2,2,2,2,1
"compact","17.67","2","yes","26.16","2","absent","21.33",0,0,0,0,0,0,0,0,1,1
"cylindrical","8.59",NA,"yes","8.62",NA,"absent","7.57",0,0,1,1,1,1,2,2,2,2
"compact","26.04","2","no","24.46","4","present","21.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","25.88","3","no","18","2","present","24",1,1,1,1,1,1,1,1,1,1
"compact","17.77","3","no","16.25","3","absent","21.92",0,1,1,1,1,2,1,1,1,1
"compact","15.82","2","yes","14.32","1","absent","16.92",1,1,1,1,1,1,1,1,1,1
"cylindrical","13.2",NA,"no","17.48",NA,"absent","13.39",1,1,1,1,1,0,1,1,1,1
"compact","30.52","3","yes","13.3","4","present","21.55",1,1,1,1,1,1,1,1,1,1
"compact","26.5","2","no","21.45","4","absent","25.46",0,0,0,0,0,0,0,0,0,0
"umbrella","23.13","3","no","24.06","3","present","20.71",1,1,1,1,1,1,1,1,2,2
"open","15.83","2","yes","20.33","3","absent","17.02",1,1,1,1,1,2,1,1,1,1
"cylindrical","14.05",NA,"yes","10.72",NA,"absent","12.92",1,1,1,2,2,2,2,1,2,2
"compact","25.04","2","no","18.02","5","present","23.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","15.11","2","no","17.74","2","absent","19.96",0,0,0,1,1,1,2,2,1,1
"cylindrical","23.27",NA,"no","19.93",NA,"absent","21.57",0,0,0,1,1,1,2,1,2,2
"compact","12.85","2","yes","9.55","3","present","9.51",2,2,1,1,1,0,0,0,0,0
"compact","16.83","2","no","17.74","3","absent","17.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","13.7","2","no","19.62","2","absent","15.64",0,0,0,0,0,0,0,1,1,1
"compact","22.21","2","yes","14.64","3","present","17.8",1,1,1,1,1,1,1,1,1,1
"compact","13.02","2","","11.49","1","absent","8.94",2,2,2,2,2,2,2,2,2,2
"cylindrical","18.33",NA,"no","22.6",NA,"absent","18.17",0,0,0,0,0,0,0,0,0,0
"compact","28.89","2","no","26.04","3","absent","26.59",0,0,1,1,1,2,2,2,2,2
"compact","10.3","2","no","18","2","present","18.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","20.72","2","no","20.64","4","present","18.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","22.17","2","yes","18.32","1","absent","18.25",0,0,1,1,1,1,1,1,1,1
"cylindrical","19.8",NA,"no","16.06",NA,"absent","20.61",2,2,2,2,2,1,1,1,0,0
"compact","22.69","2","no","22.85","5","present","12.22",0,0,1,1,1,1,1,2,2,2
"umbrella","21.19","3","no","21.05","1","absent","12.64",0,0,0,0,0,0,0,0,0,1
"cylindrical","19.22",NA,"yes","21.5",NA,"absent","20.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","14.99","3","no","18.96","4","present","20.31",1,1,1,1,1,0,0,0,1,1
"compact","22.99","2","no","14.36","4","present","22.44",0,0,0,0,0,0,0,1,1,1
"compact","14.48","2","no","13.91","2","absent","17.81",2,2,2,2,1,2,2,2,2,2
"compact","27.99","2","no","23.32","2","absent","22.96",0,0,0,0,0,0,0,1,1,1
"compact","13.41","2","no","19.49","3","absent","19.1",0,0,0,1,1,1,1,1,1,1
"compact","19","3","yes","18.06","4","present","17.77",1,1,2,2,2,1,1,1,2,2
"compact","13.54","2","no","14.31","1","absent","15.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","29.38","2","no","29.33","5","absent","30.47",0,0,0,0,0,0,0,0,0,0
"compact","15.72","2","no","18.79","3","present","17.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","21.33","2","no","24.06","4","absent","17.91",0,0,0,0,0,0,0,0,0,0
"compact","18.18","2","no","16.94","1","absent","16.83",0,0,1,1,0,0,0,0,0,0
"compact","22.25","2","no","22.06","3","present","16.95",0,0,0,0,0,0,0,0,0,0
"compact","24","3","no","11.68","3","absent","17.26",0,0,2,2,2,1,0,0,1,1
"compact","13.95","2","yes","11.35","2","absent","12.57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cylindrical","10.34",NA,"no","11.22",NA,"absent","10.63",1,0,0,0,0,0,0,0,0,0
"compact","20.16","2","no","26.02","2","absent","18.68",0,0,0,0,0,0,0,1,1,1
"compact","16.11","2","no","15.8","2","absent","13.16",0,0,0,1,1,2,1,1,0,0
"compact","16.02","3","no","16.16","1","absent","13.91",1,1,1,1,1,1,1,1,1,1
"compact","17.39","2","no","15.9","2","absent","13.66",1,1,1,1,1,1,1,1,1,1
"compact","21.34","2","no","18.84","1","absent","21.23",0,0,0,0,0,0,1,1,1,1
"umbrella","35.5","3","no","40.97","1","absent","32.71",0,0,0,0,0,0,0,0,0,0
"compact","22.06","2","no","18.46","3","absent","19.59",1,1,1,1,1,1,1,1,2,2
"umbrella","16.15","2","no","15.94","2","present","16.46",1,1,1,1,1,0,0,0,1,1
"cylindrical","11.64",NA,"yes","9.07",NA,"absent","8.55",2,2,2,2,2,1,1,1,1,0
"compact","19.12","2","yes","14.2","4","absent","13.16",0,0,0,0,0,0,0,0,0,0
"compact","56.75","2","no","21.22","3","present","23.71",0,0,0,0,0,0,0,1,1,1
"cylindrical","11.93",NA,"no","12.7",NA,"absent","9.88",1,1,1,1,1,1,0,0,0,0
"compact","13.11","2","yes","15.13","2","absent","11.98",1,1,1,1,1,1,0,0,0,0
"compact","20.85","2","no","12.79","2","absent","15.08",0,0,1,1,1,1,1,1,1,1
"cylindrical","16.08",NA,"no","16.7",NA,"absent","16.54",1,1,1,1,0,0,0,0,0,0
"cylindrical","16.86",NA,"no","13.33",NA,"absent","14.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","26.68","2","no","17.62","4","absent","18.67",0,0,0,0,0,0,0,1,1,1
"umbrella","12.45","2","no","10.07","1","absent","16.88",1,1,1,1,2,2,0,0,0,0
"compact","20.91","2","no","25.14","3","absent","22",0,0,0,0,0,0,1,0,0,0
"cylindrical","13.25",NA,"no","16.11",NA,"absent","18",0,0,0,0,0,0,0,0,0,0
"compact","18.8","2","no","15.13","6","present","19.43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","33.02","2","no","25.46","2","absent","25.19",1,1,1,1,1,1,1,1,1,1
"umbrella","17.7","2","yes","14.01","1","present","13.76",0,0,1,2,2,2,1,1,0,0
"compact","16.17","2","no","23.79","3","present","22.05",1,1,2,2,2,2,2,2,2,2
"umbrella","29.02","3","no","17.76","1","absent","27.35",1,1,2,2,1,1,1,1,1,1
"cylindrical","18.4",NA,"no","18.72",NA,"absent","22.57",0,0,0,0,1,1,1,1,1,1
"compact","19.66","2","yes","15.41","1","absent","16.2",0,0,0,0,0,0,1,0,1,1
"compact","19.95","2","no","20.4","5","present","25.47",0,0,0,0,0,0,0,1,1,1
"umbrella","21.2","2","no","25.44","2","absent","16.06",1,1,1,1,1,1,1,1,1,1
"umbrella","14.64","2","no","9.93","1","absent","8.58",1,1,1,1,1,1,0,0,0,0
"compact","22.9",NA,"no","19.98","2","absent","17.13",1,1,1,1,1,1,2,1,2,2
"open","27.19","2","no","20.49","3","present","16.7",1,1,1,1,1,1,1,1,1,1
"compact","19.98","2","no","18.88","2","absent","24.01",0,0,0,1,1,1,1,0,1,1
"cylindrical","18.14",NA,"no","16.74",NA,"absent","13.46",1,1,0,0,0,0,0,0,0,0
"compact","15.88","2","no","18.21","5","present","16.93",1,1,2,2,2,0,0,0,0,0
"compact","16.41","2","no","19.16","2","absent","24.34",0,0,0,0,0,0,0,0,0,0
"compact","26.22","2","no","21.04","4","present","27.32",1,1,1,1,1,1,1,1,1,1
"compact","14.62","2","no","15.53","1","absent","12.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","15.72","3","no","16.52","1","absent","18.72",0,0,0,0,0,0,0,0,0,0
"compact","20.75","3","no","18.96","2","absent","21.24",0,0,0,0,0,0,0,0,0,0
"cylindrical","16.1","2","","15.02",NA,"absent","19.92",0,0,1,1,1,1,1,1,1,1
"compact","16.62","3","no","15.42","3","absent","20.49",0,0,1,1,1,0,0,0,0,0
"compact","12.96","2","no","16.84","2","absent","13.58",0,0,1,1,2,2,2,2,2,2
"compact","13.2","2","no","17.63","1","absent","18.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","16.91","3","no","23.1","1","absent","30.95",1,1,1,1,1,1,1,1,1,1
"compact","20.11","2","no","20.86","1","absent","21.68",1,0,0,0,0,0,0,0,0,0
"umbrella","15.42","3","no","16.63","1","absent","22.91",0,0,1,1,2,2,2,2,2,2
"umbrella","14.5","2","no","15.89","1","absent","17.39",1,1,1,2,2,1,1,1,2,2
"umbrella","13.42","3","no","18.42","1","absent","17.63",1,1,1,1,1,0,0,0,1,1
"compact","17.65","2","no","20.92","2","absent","18.33",1,1,1,1,1,1,1,1,1,1
"cylindrical","17.56",NA,"no","21.49",NA,"absent","19.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","17.99","2","no","15.68","1","absent","13.65",0,0,0,0,0,0,1,1,2,2
"compact","17.95","3","no","16.76","1","absent","14.66",1,1,1,2,2,2,2,2,1,1
"compact","15.37","2","yes","15.12","1","absent","13.54",0,0,0,0,0,0,0,0,0,0
"compact","19.25","2","no","17.15","3","present","19.29",1,1,1,1,1,1,1,1,1,1
"umbrella","17.13","3","yes","19.65","2","present","20.24",0,0,1,1,1,1,1,1,1,1
"compact","18.63","2","no","18.03","3","absent","18.54",1,1,1,1,1,1,1,1,1,1
"compact","27.39","2","no","21.32","4","present","22.62",0,0,0,0,0,0,0,0,0,1
"compact","20.92","3","no","24.28","4","absent","17.74",1,1,1,2,2,2,2,2,1,1
"umbrella","19.45","2","no","16.24","1","absent","14.73",0,0,0,0,0,0,0,0,0,0
"umbrella","17.62",NA,"no","17.6","1","absent","19.37",0,0,0,0,0,0,0,0,1,1
"umbrella","20.15","3","no","17.67","2","absent","19.64",0,0,2,2,2,2,2,1,2,2
"compact","27.98","2","no","24.15","5","present","29.69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","23.72","2","no","24.11","4","absent","18.13",0,0,0,1,1,1,1,1,2,2
"cylindrical","26.61",NA,"yes","15.37",NA,"absent","16.32",1,1,1,1,1,1,1,0,1,1
"","0",NA,"",NA,NA,"",NA,0,0,0,0,0,0,0,0,0,0
"compact","15.65","3","no","20.15","3","absent","20.1",1,1,2,2,2,2,2,2,1,1
"compact","14.37","2","no","20.77","4","absent","19.12",0,0,0,0,0,0,0,0,0,0
"compact","14.37","2","no","20.77","4","absent","19.12",0,0,0,0,1,1,1,1,1,1
"compact","20.33","2","yes","19.07","1","absent","20.06",0,0,0,0,0,0,0,0,0,0
"cylindrical","10.67",NA,"yes","11.42",NA,"absent","13.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","17.56","2","no","21.5","2","absent","22.66",1,1,1,1,1,1,1,1,1,1
"umbrella","28.99","2","no","24.45","2","absent","21.9",1,1,1,1,0,1,1,1,1,1
"compact","16.27","2","no","16.1","3","present","18.1",2,2,2,0,0,0,0,0,0,0
"compact","18.96","2","yes","22.08","5","present","19.79",0,0,0,0,0,1,1,1,1,1
"compact","15.76","2","yes","13.64","4","present","16.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umbrella","18.21","2","no","17.22","1","present","25.72",0,0,0,0,0,0,1,1,1,1
"cylindrical","14.16",NA,"yes","13.52",NA,"absent","15.41",1,1,1,0,0,0,0,0,0,0
"cylindrical","19.19",NA,"no","18.39",NA,"absent","18.64",0,0,1,1,1,1,2,2,2,1
"compact","18.48","2","no","11.74","3","absent",NA,2,2,2,2,2,1,1,1,1,1
"compact","24.61","2","no","15.82","3","absent","15.14",1,1,1,1,1,1,1,1,1,1
"compact","20.16","2","no","22.78","3","absent","20.7",1,1,1,1,2,2,2,2,2,2
"compact","15.5","2","yes","13.32","2","absent","15.54",0,0,1,1,1,1,1,1,1,1
"compact","21.46","2","no","14.97","3","present","17.12",0,0,0,0,0,0,0,0,0,0
"compact","13.96","3","yes","16.79","3","absent","14.96",1,1,1,1,1,1,1,1,1,1
"compact","32.69","2","no","31.74","5","present","28.19",0,0,1,1,2,2,2,2,2,2
"compact","24.65","2","no","21.84","3","present","20.07",1,1,1,1,1,1,1,1,1,1
"compact","18.67","3","yes","20.12","1","present","15.4",1,1,0,0,0,0,0,0,0,0
"cylindrical","18.27",NA,"yes","15.23",NA,"absent","13.73",0,0,1,1,1,2,2,2,2,2
"cylindrical","15.56",NA,"yes","16",NA,"absent","16.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"compact","25.37","2","no","26.87","4","present","26.49",0,0,1,0,0,1,1,1,1,1
"compact","14.81","2","no","20.33","2","absent","22.19",1,1,2,2,2,2,2,2,2,2
"compact","15.32","2","yes","15.31","3","absent","23.65",1,1,1,1,1,1,1,1,1,1
"compact","17.22","2","no","20.01","3","absent","20.59",1,1,1,1,1,1,1,1,1,1
"compact","13.21","3","no","17.96","4","absent","20.06",1,1,1,1,1,1,1,1,0,1
